source;site_id;site_name;inverter_id;inverter_name;inverter_no;mppt_no;string_no;module_qty;orient_code;is_active;commission_date;decommission_date;notes
iSolarCloud;1637095;Charoen Pokphand Bandung;;;8;7;13;20.0;2.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;8;7;14;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;8;8;15;20.0;2.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;8;8;16;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;8;9;17;20.0;2.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;8;9;18;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;8;10;19;20.0;2.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;8;10;20;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;8;11;21;20.0;2.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;8;11;22;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;8;12;23;20.0;2.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;8;12;24;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;9;1;1;20.0;2.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;9;1;2;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;9;2;3;20.0;2.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;9;2;4;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;9;3;5;20.0;2.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;9;3;6;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;9;4;7;20.0;2.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;9;4;8;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;9;5;9;20.0;2.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;9;5;10;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;9;6;11;20.0;2.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;9;6;12;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;9;7;13;20.0;2.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;9;7;14;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
