source;site_id;site_name;inverter_no;inverter_sn;inverter_id;inverter_name;inverter_ac_capacity_kw;inverter_model;inverter_manufacturer;inverter_dc_capacity_kw;mppt_count;is_active;valid_from;valid_to;notes
dim_assets_auto;1637095;Charoen Pokphand Bandung;5;1637095_1_2_1;1637095_1_2_1;;;;;;;True;;;
dim_assets_auto;1637095;Charoen Pokphand Bandung;6;1637095_1_1_1;1637095_1_1_1;;;;;;;True;;;
dim_assets_auto;1637095;Charoen Pokphand Bandung;7;1637095_1_10_1;1637095_1_10_1;;;;;;;True;;;
dim_assets_auto;1637095;Charoen Pokphand Bandung;8;1637095_1_7_1;1637095_1_7_1;;;;;;;True;;;
dim_assets_auto;1637095;Charoen Pokphand Bandung;9;1637095_1_3_1;1637095_1_3_1;;;;;;;True;;;
dim_assets_auto;1637095;Charoen Pokphand Bandung;10;1637095_1_9_1;1637095_1_9_1;;;;;;;True;;;
dim_assets_auto;1637816;Charoen Pokphand Madiun;1;1637816_1_1_1;1637816_1_1_1;;;;;;;True;;;
dim_assets_auto;1637816;Charoen Pokphand Madiun;2;1637816_1_4_1;1637816_1_4_1;;;;;;;True;;;
dim_assets_auto;1637816;Charoen Pokphand Madiun;3;1637816_1_3_1;1637816_1_3_1;;;;;;;True;;;
dim_assets_auto;1637816;Charoen Pokphand Madiun;4;1637816_1_7_1;1637816_1_7_1;;;;;;;True;;;
dim_assets_auto;1637816;Charoen Pokphand Madiun;5;1637816_1_5_1;1637816_1_5_1;;;;;;;True;;;
dim_assets_auto;1637816;Charoen Pokphand Madiun;6;1637816_1_2_1;1637816_1_2_1;;;;;;;True;;;
dim_assets_auto;1637816;Charoen Pokphand Madiun;7;1637816_1_6_1;1637816_1_6_1;;;;;;;True;;;
dim_assets_auto;1680199;PLTS Rooftop Sumatera Prima Fibreboard;1;1680199_1_1_1;1680199_1_1_1;;;;;;;True;;;
dim_assets_auto;1680199;PLTS Rooftop Sumatera Prima Fibreboard;2;1680199_1_9_1;1680199_1_9_1;;;;;;;True;;;
dim_assets_auto;1680199;PLTS Rooftop Sumatera Prima Fibreboard;3;1680199_1_2_1;1680199_1_2_1;;;;;;;True;;;
dim_assets_auto;1680199;PLTS Rooftop Sumatera Prima Fibreboard;4;1680199_1_7_1;1680199_1_7_1;;;;;;;True;;;
dim_assets_auto;1680199;PLTS Rooftop Sumatera Prima Fibreboard;5;1680199_1_3_1;1680199_1_3_1;;;;;;;True;;;
dim_assets_auto;1680199;PLTS Rooftop Sumatera Prima Fibreboard;6;1680199_1_4_1;1680199_1_4_1;;;;;;;True;;;
dim_assets_auto;1680199;PLTS Rooftop Sumatera Prima Fibreboard;7;1680199_1_8_1;1680199_1_8_1;;;;;;;True;;;
dim_assets_auto;1680199;PLTS Rooftop Sumatera Prima Fibreboard;8;1680199_1_5_1;1680199_1_5_1;;;;;;;True;;;
dim_assets_auto;1680199;PLTS Rooftop Sumatera Prima Fibreboard;9;1680199_1_6_1;1680199_1_6_1;;;;;;;True;;;
dim_assets_auto;1680199;PLTS Rooftop Sumatera Prima Fibreboard;10;1680199_1_5_2;1680199_1_5_2;;;;;;;True;;;
dim_assets_auto;1680199;PLTS Rooftop Sumatera Prima Fibreboard;11;1680199_1_9_2;1680199_1_9_2;;;;;;;True;;;
